# MARVEL citing papers - papers with locatable MARVEL transitions and/or empirical levels.
# Columns: bibtex_key doi year molecules method data_status data_links link_kind notes
# Sorted by molecules A-Z then year newest-first. HIGH + MEDIUM TIERS - low tier pending.
bibtex_key	doi	year	molecules	method	data_status	data_links	link_kind	notes
22YuNoAz	10.1093/mnras/stac3757	2022	AlCl	exomol_linelist	levels+trans	https://academic.oup.com/mnras/article/520/4/5183/6958824#supplementary-data	SI_zip	Al35Cl/Al37Cl empirical model; MNRAS SI; SI stac3757_Supplemental_Files.zip; caption mentions only partition functions - MARVEL content unverified
24YuScHa	10.1093/mnras/stad3802	2023	AlH	exomol_linelist	levels+trans	https://academic.oup.com/mnras/article/527/4/9736/7468140#supplementary-data	SI_zip	AloHa AlH+AlD; MNRAS SI; SI stad3802_Supplemental_Files.zip = Duo input + MARVEL input and output files
18YuWiLe	10.1093/mnras/sty1524	2018	AlH	exomol_linelist	levels+trans	https://academic.oup.com/mnras/article/479/1/1401/5035837#supplementary-data	SI_zip	AlHambra 27AlH; MNRAS SI; SI 'Supplement Files.zip'; contents not itemised on the article page - verify on download
21BoShYu	10.1093/mnras/stab2525	2021	AlO	exomol_linelist	levels+trans	https://academic.oup.com/mnras/article/508/3/3181/6368347#supplementary-data	SI_zip	27Al16O MARVEL: 22473 transitions, 6485 levels; MNRAS SI; SI stab2525_Supplemental_File.zip; abstract reports 22473 validated transitions giving 6485 levels
26TeGiSo	10.1088/1361-6587/ae72cc	2026	BH	exomol_linelist	levels+trans	https://content.cld.iop.org/journals/0741-3335/68/6/065043/revision2/ppcfae72ccsupp2.txt|https://content.cld.iop.org/journals/0741-3335/68/6/065043/revision2/ppcfae72ccsupp3.txt	SI_file|SI_file	6 BH isotopologues; IOP PPCF SI; two supplementary text files, listed at iopscience.iop.org/article/10.1088/1361-6587/ae72cc/data
20McSyBo	10.1093/mnras/staa1954	2020	C2	marvel	levels+trans	https://academic.oup.com/mnras/article/497/1/1081/5870682#supplementary-data	SI_zip	12C2 MARVEL update; SI has 12C-12C_2020update.marvel.inp; MNRAS SI; SI staa1954_Supplemental_Files.zip = 12C-12C_2020update.marvel.inp, energies, line lists
16FuSzCs	10.3847/0067-0049/224/2/44	2016	C2	marvel	levels+trans	https://iopscience.iop.org/0067-0049/224/2/44/suppdata/apjsaa2378t1_ascii.txt|https://iopscience.iop.org/0067-0049/224/2/44/suppdata/apjsaa2378t2_ascii.txt|https://iopscience.iop.org/0067-0049/224/2/44/suppdata/apjsaa2378t3_ascii.txt|https://iopscience.iop.org/0067-0049/224/2/44/suppdata/apjsaa2378t4_ascii.txt|https://iopscience.iop.org/0067-0049/224/2/44/suppdata/apjsaa2378t5_ascii.txt|https://iopscience.iop.org/0067-0049/224/2/44/suppdata/apjsaa2378t6_ascii.txt|https://iopscience.iop.org/0067-0049/224/2/44/suppdata/apjsaa2378t7_ascii.txt|https://iopscience.iop.org/0067-0049/224/2/44/suppdata/apjsaa2378t8_ascii.txt|https://content.cld.iop.org/journals/0067-0049/224/2/44/revision1/apjsaa2378.tar.gz	journal_table|journal_table|journal_table|journal_table|journal_table|journal_table|journal_table|journal_table|SI_zip	12C2 experimental levels + partition function; ApJS SI; MARVEL input transitions file and output energies file
23CaFaFuDa	10.1039/d3cp01835k	2023	C2H2	marvel	levels+trans	https://pubs.rsc.org/cp/article-supplement/801363/txt/d3cp01835k1_suppl/|https://pubs.rsc.org/cp/article-supplement/801363/txt/d3cp01835k2_suppl/|https://pubs.rsc.org/cp/article-supplement/801363/txt/d3cp01835k3_suppl/	SI_file|SI_file|SI_file	kHz absolute frequencies + improved SN; RSC PCCP SI; three SI text files
17ChJoFr	10.1016/j.jqsrt.2017.08.018	2017	C2H2	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022407317305745-mmc1.zip	SI_zip	12C2H2, ortho/para MARVEL files
23Texxxx	10.1080/00268976.2023.2276912	2023	C3	marvel	levels+trans	https://www.tandfonline.com/doi/full/10.1080/00268976.2023.2276912	SI_file	empirical rovibronic levels of C3; Molecular Physics SI; data availability: MARVEL input transitions file, MARVEL output energy file and segment file; T&F asset URLs are tokenised; minted key
24KeBoYu	10.1016/j.jqsrt.2024.108897	2024	CH4	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022407324000049-mmc2.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407324000049-mmc3.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407324000049-mmc4.txt	SI_file|SI_file|SI_file	empirical rovibrational levels for methane
22FuHeTe.CH	10.1039/d2cp02240k	2022	CH|OH	marvel	levels+trans	https://pubs.rsc.org/cp/article-supplement/761512/txt/d2cp02240k1_suppl/|https://pubs.rsc.org/cp/article-supplement/761512/txt/d2cp02240k2_suppl/|https://pubs.rsc.org/cp/article-supplement/761512/txt/d2cp02240k3_suppl/|https://pubs.rsc.org/cp/article-supplement/761512/txt/d2cp02240k4_suppl/|https://pubs.rsc.org/cp/article-supplement/761512/txt/d2cp02240k5_suppl/|https://pubs.rsc.org/cp/article-supplement/761512/txt/d2cp02240k6_suppl/|https://pubs.rsc.org/cp/article-supplement/761512/txt/d2cp02240k7_suppl/|https://pubs.rsc.org/cp/article-supplement/761512/txt/d2cp02240k8_suppl/	SI_file|SI_file|SI_file|SI_file|SI_file|SI_file|SI_file|SI_file	12CH and 16OH doublet rovibronic; RSC PCCP SI; eight SI text files covering 12CH and 16OH
